ph,temperature,turbidity,tds,Potability,timestamp
6.48,24.56,607.4,93.71,0,2026-05-01T04:32:55.259549+00:00
6.08,28.81,4.99,434.43,0,2026-05-01T04:32:57.855341+00:00
6.5,24.4,609.0,103.25,0,2026-05-01T04:33:00.284329+00:00
8.43,27.86,1.27,191.62,1,2026-05-01T04:33:02.872547+00:00
6.49,24.46,600.7,85.61,0,2026-05-01T04:33:05.295236+00:00
6.98,25.42,5.68,354.03,0,2026-05-01T04:33:07.888913+00:00
6.5,24.4,606.0,105.24,0,2026-05-01T04:33:10.312106+00:00
7.85,26.15,3.37,685.07,0,2026-05-01T04:33:12.906652+00:00
6.49,24.59,617.5,107.69,0,2026-05-01T04:33:15.332189+00:00
6.64,20.94,1.33,355.12,1,2026-05-01T04:33:17.933380+00:00
6.48,24.57,607.5,108.33,0,2026-05-01T04:33:20.342052+00:00
5.61,25.59,4.59,670.98,0,2026-05-01T04:33:22.944292+00:00
7.07,27.08,14.87,578.7,0,2026-05-01T04:33:31.075308+00:00
5.94,31.57,0.39,781.48,0,2026-05-01T04:33:36.088814+00:00
7.31,26.0,4.31,701.02,0,2026-05-01T04:33:41.111592+00:00
8.49,33.03,7.27,239.91,0,2026-05-01T04:33:46.131806+00:00
5.62,34.58,0.63,454.5,0,2026-05-01T04:33:51.150335+00:00
7.25,33.37,14.34,497.3,0,2026-05-01T04:33:56.166570+00:00
6.0,21.38,12.67,143.65,0,2026-05-01T04:34:01.182128+00:00
9.01,32.99,8.91,796.48,0,2026-05-01T04:34:06.200999+00:00
9.37,20.98,8.72,649.43,0,2026-05-01T04:34:11.222663+00:00
8.95,29.79,1.9,217.25,0,2026-05-01T04:34:16.239325+00:00
8.99,27.2,10.17,684.72,0,2026-05-01T04:34:21.252847+00:00
7.93,29.97,6.8,153.59,0,2026-05-01T04:34:26.271712+00:00
7.06,29.33,5.58,365.42,0,2026-05-01T04:34:31.289588+00:00
5.82,20.91,11.19,310.17,0,2026-05-01T04:34:36.329343+00:00
8.93,23.61,13.48,406.06,0,2026-05-01T04:34:41.364231+00:00
6.52,33.81,3.2,129.05,1,2026-05-01T04:34:46.385779+00:00
6.31,33.09,1.28,476.13,0,2026-05-01T04:34:51.400921+00:00
7.1,28.88,0.85,738.83,0,2026-05-01T04:34:56.418724+00:00
8.99,27.01,4.36,481.92,0,2026-05-01T04:35:01.436792+00:00
8.92,34.67,1.68,233.17,0,2026-05-01T04:35:06.445574+00:00
8.38,28.02,12.18,146.9,0,2026-05-01T04:35:11.466079+00:00
8.75,26.5,9.3,728.18,0,2026-05-01T04:35:16.487368+00:00
7.7,33.69,5.51,666.95,0,2026-05-01T04:35:21.505408+00:00
9.41,23.94,3.73,396.21,0,2026-05-01T04:35:26.518311+00:00
7.65,27.06,8.14,563.9,0,2026-05-01T04:35:31.537574+00:00
6.36,25.09,9.37,220.73,0,2026-05-01T04:35:36.553476+00:00
5.8,27.3,14.62,314.64,0,2026-05-01T04:35:41.573233+00:00
8.36,20.09,14.36,312.28,0,2026-05-01T04:35:46.598091+00:00
7.03,22.8,4.48,218.59,1,2026-05-01T04:35:51.618241+00:00
7.8,34.88,9.79,472.38,0,2026-05-01T04:35:56.634008+00:00
7.69,27.41,4.72,483.93,1,2026-05-01T04:36:01.671103+00:00
8.06,21.41,4.71,707.57,0,2026-05-01T04:36:06.692645+00:00
8.97,31.81,8.07,586.21,0,2026-05-01T04:36:11.713232+00:00
6.99,30.43,0.06,473.57,1,2026-05-01T04:36:16.728802+00:00
9.13,24.48,4.06,402.24,0,2026-05-01T04:36:21.747661+00:00
7.66,28.82,2.23,344.12,1,2026-05-01T04:36:26.766452+00:00
9.5,26.77,13.73,241.05,0,2026-05-01T04:36:31.787296+00:00
5.52,33.13,3.09,563.1,0,2026-05-01T04:36:36.802964+00:00
6.06,22.89,8.58,747.6,0,2026-05-01T04:36:41.822892+00:00
8.49,26.46,0.14,272.53,1,2026-05-01T04:36:46.846260+00:00
9.21,33.22,9.87,379.79,0,2026-05-01T04:36:51.866578+00:00
8.59,25.29,1.82,577.18,0,2026-05-01T04:36:56.888311+00:00
6.31,22.4,3.42,124.34,0,2026-05-01T04:37:01.909104+00:00
7.12,23.67,12.81,530.15,0,2026-05-01T04:37:06.925692+00:00
8.55,34.64,8.66,419.75,0,2026-05-01T04:37:11.943214+00:00
8.52,21.38,10.86,696.66,0,2026-05-01T04:37:16.963807+00:00
8.26,22.23,5.86,656.73,0,2026-05-01T04:37:21.983068+00:00
9.22,29.49,8.74,172.08,0,2026-05-01T04:37:27.000452+00:00
6.84,25.1,7.13,738.35,0,2026-05-01T04:37:32.017265+00:00
8.49,28.49,7.53,461.5,0,2026-05-01T04:37:37.030232+00:00
6.76,29.1,6.96,766.27,0,2026-05-01T04:37:42.815884+00:00
5.88,23.41,1.74,513.65,0,2026-05-01T04:37:47.861019+00:00
5.67,22.63,6.56,695.43,0,2026-05-01T04:37:52.909926+00:00
7.6,20.77,3.89,479.34,1,2026-05-01T04:38:46.277818+00:00
5.77,20.25,9.53,647.21,0,2026-05-01T04:38:51.325210+00:00
7.01,34.32,3.68,367.29,1,2026-05-01T04:38:56.374065+00:00
7.84,30.77,10.46,303.08,0,2026-05-01T04:39:01.422147+00:00
5.56,33.43,10.65,134.75,0,2026-05-01T04:39:06.468043+00:00
5.67,34.7,1.07,294.01,0,2026-05-01T04:39:11.517415+00:00
8.56,27.25,12.22,609.16,1,2026-05-01T04:39:16.578413+00:00
8.08,23.25,14.8,785.21,0,2026-05-01T04:39:21.628978+00:00
8.8,34.14,0.22,113.91,0,2026-05-01T04:39:26.681028+00:00
5.89,29.01,14.58,154.27,0,2026-05-01T04:39:31.728910+00:00
9.12,29.4,3.98,599.71,0,2026-05-01T04:39:36.775341+00:00
7.89,25.07,10.48,627.08,0,2026-05-01T04:39:41.823382+00:00
5.95,34.58,7.15,195.94,0,2026-05-01T04:39:46.871945+00:00
8.3,24.02,0.19,254.93,1,2026-05-01T04:39:51.919303+00:00
5.91,32.06,3.45,272.98,0,2026-05-01T04:39:56.965899+00:00
7.77,32.47,7.73,427.94,0,2026-05-01T04:40:02.014821+00:00
6.6,23.85,5.57,615.86,0,2026-05-01T04:40:07.058967+00:00
8.7,34.58,11.83,572.26,0,2026-05-01T04:40:12.099917+00:00
7.66,22.16,10.81,693.19,0,2026-05-01T04:40:17.147040+00:00
7.5,28.49,14.68,178.78,0,2026-05-01T04:40:22.196435+00:00
8.19,25.84,12.68,479.96,1,2026-05-01T04:40:27.245401+00:00
9.13,22.44,9.47,208.35,0,2026-05-01T04:40:32.291486+00:00
9.1,23.8,3.01,520.74,0,2026-05-01T04:40:37.339309+00:00
7.25,24.89,11.12,608.57,0,2026-05-01T04:40:42.386771+00:00
9.11,30.96,8.96,136.45,0,2026-05-01T04:40:47.433096+00:00
8.33,22.56,8.25,784.64,0,2026-05-01T04:40:52.480186+00:00
6.77,21.35,1.31,681.71,1,2026-05-01T04:40:57.526962+00:00
8.06,22.38,4.58,378.93,1,2026-05-01T04:41:02.574414+00:00
6.7,34.36,8.63,689.84,0,2026-05-01T04:41:07.621763+00:00
5.82,31.37,3.43,327.21,1,2026-05-01T04:41:12.671218+00:00
8.71,31.79,0.8,588.89,0,2026-05-01T04:41:17.704421+00:00
6.1,26.19,8.4,121.77,0,2026-05-01T04:41:22.731243+00:00
6.92,22.76,14.27,784.15,0,2026-05-01T04:41:27.757875+00:00
8.89,31.15,11.45,300.25,0,2026-05-01T04:41:32.781223+00:00
8.84,27.05,14.95,671.1,0,2026-05-01T04:41:37.809419+00:00
7.32,26.08,7.11,247.68,0,2026-05-01T04:41:42.837831+00:00
7.38,31.78,1.12,398.53,1,2026-05-01T04:41:47.874966+00:00
8.61,27.34,2.92,229.75,0,2026-05-01T04:41:52.920328+00:00
8.05,21.44,2.69,434.39,1,2026-05-01T04:41:57.984089+00:00
8.54,29.13,13.54,770.99,0,2026-05-01T04:42:03.037858+00:00
7.1,32.4,12.29,640.51,0,2026-05-01T04:42:08.068073+00:00
8.83,32.49,0.6,436.96,0,2026-05-01T04:42:13.085719+00:00
9.22,23.48,7.39,560.91,0,2026-05-01T04:42:18.111599+00:00
7.65,25.53,12.49,214.61,0,2026-05-01T04:42:23.157707+00:00
6.4,29.32,2.11,674.83,0,2026-05-01T04:42:28.203884+00:00
5.72,21.17,12.47,156.92,0,2026-05-01T04:42:33.255510+00:00
6.09,21.3,5.3,544.69,0,2026-05-01T04:42:38.302651+00:00
7.34,30.38,9.56,732.04,0,2026-05-01T04:42:43.350232+00:00
9.02,22.94,5.27,645.74,0,2026-05-01T04:42:48.397487+00:00
9.41,33.29,1.37,775.88,0,2026-05-01T04:42:53.434906+00:00
8.59,20.83,8.85,675.76,0,2026-05-01T04:42:59.263389+00:00
6.4,24.8,13.39,444.68,0,2026-05-01T04:43:04.310912+00:00
6.32,24.31,2.89,549.3,0,2026-05-01T04:43:09.358525+00:00
9.46,25.31,8.04,502.67,0,2026-05-01T04:43:14.408717+00:00
8.95,27.89,1.76,252.43,0,2026-05-01T04:43:19.456298+00:00
7.54,30.34,13.69,411.59,0,2026-05-01T04:43:24.504581+00:00
8.0,33.08,0.06,182.1,1,2026-05-01T04:43:29.557638+00:00
6.35,31.0,14.63,480.46,0,2026-05-01T04:43:34.605609+00:00
7.83,33.74,0.15,245.67,1,2026-05-01T04:43:39.652434+00:00
7.51,26.53,11.0,544.27,1,2026-05-01T04:43:44.697933+00:00
7.49,26.47,7.69,450.47,0,2026-05-01T04:43:49.741322+00:00
8.07,32.92,6.97,516.22,0,2026-05-01T04:43:54.788643+00:00
7.4,27.12,1.05,175.35,1,2026-05-01T04:43:59.835101+00:00
8.58,21.63,12.7,684.53,0,2026-05-01T04:44:04.883102+00:00
8.51,26.45,10.64,596.57,1,2026-05-01T04:44:09.930276+00:00
6.84,32.1,6.78,435.39,0,2026-05-01T04:44:14.976209+00:00
7.91,29.25,14.93,278.61,0,2026-05-01T04:44:20.023842+00:00
9.28,25.83,1.34,475.34,0,2026-05-01T04:44:25.071567+00:00
8.62,31.94,0.31,277.56,1,2026-05-01T04:44:30.138632+00:00
7.67,21.75,1.85,526.38,1,2026-05-01T04:44:35.193267+00:00
9.25,27.96,0.19,185.37,0,2026-05-01T04:44:40.240369+00:00
7.58,29.12,6.46,400.4,0,2026-05-01T04:44:45.288560+00:00
7.45,30.72,4.92,122.21,1,2026-05-01T04:44:50.336456+00:00
9.0,29.28,5.36,202.87,0,2026-05-01T04:44:55.385291+00:00
6.04,31.09,8.17,119.27,0,2026-05-01T04:45:00.428960+00:00
5.69,31.08,4.06,542.05,0,2026-05-01T04:45:05.479804+00:00
5.98,31.18,14.91,591.82,0,2026-05-01T04:45:10.533612+00:00
7.23,22.98,4.64,681.2,1,2026-05-01T04:45:15.582534+00:00
7.24,20.11,11.01,633.14,0,2026-05-01T04:45:20.630574+00:00
8.44,33.72,10.6,345.98,0,2026-05-01T04:45:25.681395+00:00
5.82,20.22,8.54,719.78,0,2026-05-01T04:45:30.728871+00:00
5.9,27.66,7.92,747.8,0,2026-05-01T04:45:35.774963+00:00
7.39,31.15,6.09,234.94,0,2026-05-01T04:45:40.822913+00:00
8.3,26.27,5.23,577.18,1,2026-05-01T04:45:45.885857+00:00
7.41,28.92,2.08,465.26,1,2026-05-01T04:45:50.938219+00:00
5.99,31.67,11.24,463.89,0,2026-05-01T04:45:55.986331+00:00
6.06,31.66,4.27,378.62,0,2026-05-01T04:46:01.036406+00:00
6.9,25.47,14.15,159.63,0,2026-05-01T04:46:06.096359+00:00
6.11,21.14,14.51,759.09,0,2026-05-01T04:46:11.124078+00:00
8.88,24.96,7.69,626.07,0,2026-05-01T04:46:16.141949+00:00
8.15,24.55,12.37,656.83,0,2026-05-01T04:46:21.174317+00:00
9.13,32.54,6.21,205.35,0,2026-05-01T04:46:26.220486+00:00
9.24,25.83,14.46,401.58,0,2026-05-01T04:46:31.266956+00:00
8.67,29.99,13.78,264.68,0,2026-05-01T04:46:36.317167+00:00
7.65,24.36,14.09,176.23,0,2026-05-01T04:46:41.368332+00:00
8.75,32.66,11.97,641.25,0,2026-05-01T04:46:46.416188+00:00
5.97,21.85,5.16,578.95,0,2026-05-01T04:46:51.463332+00:00
6.47,21.19,2.88,218.03,0,2026-05-01T04:46:56.509263+00:00
8.58,29.84,3.91,179.23,0,2026-05-01T04:47:01.556482+00:00
8.04,31.22,7.07,785.92,0,2026-05-01T04:47:06.604349+00:00
8.69,29.21,3.38,736.92,0,2026-05-01T04:47:12.458997+00:00
8.63,34.44,8.19,187.82,0,2026-05-01T04:47:17.506656+00:00
6.83,21.32,9.56,684.1,0,2026-05-01T04:47:22.526783+00:00
7.95,20.24,6.9,646.3,0,2026-05-01T04:47:27.548147+00:00
6.91,25.88,14.46,106.11,0,2026-05-01T04:47:32.573472+00:00
8.56,27.45,8.57,616.17,1,2026-05-01T04:47:37.591271+00:00
8.22,32.46,13.46,607.84,0,2026-05-01T04:47:42.619989+00:00
7.85,32.31,10.71,755.28,0,2026-05-01T04:47:47.642378+00:00
6.47,31.73,9.48,179.95,0,2026-05-01T04:47:52.661815+00:00
5.54,28.46,0.35,107.5,0,2026-05-01T04:47:57.682971+00:00
5.98,32.5,233.44,110.55,0,2026-05-01T04:47:59.675284+00:00
5.98,32.5,233.44,110.55,0,2026-05-01T10:17:59
8.53,31.82,8.75,315.01,0,2026-05-01T04:48:02.703864+00:00
6.03,32.44,234.48,124.22,0,2026-05-01T04:48:02.927957+00:00
6.03,32.44,234.48,124.22,0,2026-05-01T10:18:02
6.02,32.5,233.08,109.78,0,2026-05-01T04:48:06.190293+00:00
6.02,32.5,233.08,109.78,0,2026-05-01T10:18:06
8.15,29.42,3.39,334.08,1,2026-05-01T04:48:07.724670+00:00
5.98,32.5,233.0,110.03,0,2026-05-01T04:48:09.453308+00:00
5.98,32.5,233.0,110.03,0,2026-05-01T10:18:09
5.98,32.5,233.15,112.6,0,2026-05-01T04:48:12.716434+00:00
5.98,32.5,233.15,112.6,0,2026-05-01T10:18:12
6.81,26.54,5.96,702.95,1,2026-05-01T04:48:12.747105+00:00
6.03,32.5,235.24,114.14,0,2026-05-01T04:48:15.980668+00:00
6.03,32.5,235.24,114.14,0,2026-05-01T10:18:15
9.29,26.19,2.23,785.93,0,2026-05-01T04:48:17.768406+00:00
8.24,20.13,11.84,216.34,0,2026-05-01T04:48:22.790596+00:00
8.29,26.5,3.7,247.08,1,2026-05-01T04:48:27.812938+00:00
9.28,31.98,14.73,416.82,0,2026-05-01T04:48:32.831712+00:00
9.02,28.84,12.85,779.58,0,2026-05-01T04:48:37.854051+00:00
7.13,29.22,10.89,395.51,0,2026-05-01T04:48:42.878260+00:00
5.86,31.97,10.31,242.2,0,2026-05-01T04:48:47.899802+00:00
8.7,29.24,5.62,623.33,0,2026-05-01T04:48:52.921072+00:00
9.13,24.43,1.99,244.64,0,2026-05-01T04:48:57.941436+00:00
7.77,22.59,12.33,705.06,0,2026-05-01T04:49:02.963739+00:00
7.71,25.99,11.08,148.26,0,2026-05-01T04:49:07.986039+00:00
7.41,34.62,14.33,490.07,0,2026-05-01T04:49:13.004572+00:00
6.65,32.9,1.57,205.8,1,2026-05-01T04:49:18.027135+00:00
7.75,34.35,14.55,675.59,0,2026-05-01T04:49:23.049267+00:00
6.61,34.85,11.05,166.56,0,2026-05-01T04:49:28.073005+00:00
8.4,28.67,9.74,193.66,0,2026-05-01T04:49:33.090766+00:00
6.9,20.25,9.74,769.16,0,2026-05-01T04:49:38.112769+00:00
7.12,34.04,3.63,388.55,1,2026-05-01T04:49:43.131615+00:00
7.0,30.74,12.11,105.88,0,2026-05-01T04:49:48.153336+00:00
7.47,22.13,4.27,761.47,1,2026-05-01T04:49:53.170899+00:00
8.48,25.82,0.61,115.05,1,2026-05-01T04:49:58.192593+00:00
8.56,32.39,8.88,247.21,0,2026-05-01T04:50:03.215061+00:00
9.32,33.19,12.85,530.34,0,2026-05-01T04:50:08.236114+00:00
8.5,24.04,0.19,526.81,0,2026-05-01T04:50:13.257776+00:00
9.41,34.25,11.11,779.91,0,2026-05-01T04:50:18.279488+00:00
7.51,27.12,6.63,527.58,1,2026-05-01T04:50:23.301070+00:00
6.49,24.37,4.77,434.91,0,2026-05-01T04:50:28.322535+00:00
6.04,20.47,0.72,554.18,0,2026-05-01T04:50:33.339866+00:00
7.94,34.54,3.86,206.46,1,2026-05-01T04:50:38.360962+00:00
8.08,28.26,6.32,629.8,1,2026-05-01T04:50:43.382708+00:00
7.02,34.04,3.35,181.85,1,2026-05-01T04:50:48.404314+00:00
6.5,32.83,1.71,122.29,1,2026-05-01T04:50:54.092128+00:00
7.63,23.45,12.64,120.12,0,2026-05-01T04:50:59.116650+00:00
9.34,30.24,5.37,724.77,0,2026-05-01T04:51:04.135544+00:00
7.36,24.91,12.44,476.44,0,2026-05-01T04:51:09.160876+00:00
6.13,23.13,13.14,571.72,0,2026-05-01T04:51:14.189439+00:00
6.57,34.79,2.76,348.36,1,2026-05-01T04:51:19.213692+00:00
9.11,34.21,0.36,795.9,0,2026-05-01T04:51:24.240891+00:00
6.77,32.14,8.48,364.19,0,2026-05-01T04:51:29.260900+00:00
8.5,33.01,13.88,555.14,0,2026-05-01T04:51:34.284628+00:00
7.7,30.85,1.58,324.89,1,2026-05-01T04:51:39.310788+00:00
6.04,27.11,14.32,157.2,0,2026-05-01T04:51:44.332319+00:00
6.78,21.39,4.05,141.79,1,2026-05-01T04:51:49.358965+00:00
8.4,27.24,5.7,327.38,0,2026-05-01T04:51:54.380923+00:00
7.13,33.2,7.95,128.23,0,2026-05-01T04:51:59.398702+00:00
7.21,21.4,6.63,348.78,1,2026-05-01T04:52:04.415739+00:00
9.26,32.77,3.59,393.22,0,2026-05-01T04:52:09.432641+00:00
6.92,20.06,11.95,720.26,0,2026-05-01T04:52:14.450475+00:00
7.72,34.84,14.37,309.71,0,2026-05-01T04:52:19.476673+00:00
6.86,34.12,6.27,220.04,0,2026-05-01T04:52:24.495309+00:00
7.65,31.71,2.28,708.22,1,2026-05-01T04:52:29.517079+00:00
6.32,30.45,8.53,473.42,0,2026-05-01T04:52:34.543324+00:00
8.62,30.19,8.79,294.6,0,2026-05-01T04:52:39.567442+00:00
8.59,27.6,11.36,650.82,0,2026-05-01T04:52:44.584696+00:00
6.36,24.33,12.69,356.8,0,2026-05-01T04:52:49.609841+00:00
6.51,34.48,1.68,687.02,0,2026-05-01T04:52:54.635877+00:00
6.11,33.99,4.71,370.73,0,2026-05-01T04:52:59.660587+00:00
9.06,25.0,10.63,673.46,0,2026-05-01T04:53:04.700169+00:00
7.22,24.29,11.8,660.16,0,2026-05-01T04:53:09.718303+00:00
7.53,25.53,6.2,422.5,0,2026-05-01T04:53:14.741144+00:00
6.52,22.14,2.08,354.83,1,2026-05-01T04:53:19.759113+00:00
5.79,33.55,13.73,130.13,0,2026-05-01T04:53:24.777531+00:00
8.28,22.74,3.31,562.63,1,2026-05-01T04:53:29.794855+00:00
8.94,32.66,8.55,292.86,0,2026-05-01T04:53:34.819003+00:00
7.6,32.98,6.46,624.02,1,2026-05-01T04:53:39.841591+00:00
7.59,27.88,1.77,429.22,1,2026-05-01T04:53:44.860667+00:00
6.98,22.83,3.74,471.34,1,2026-05-01T05:06:44.826092+00:00
7.66,25.13,9.36,344.2,0,2026-05-01T05:06:49.878865+00:00
5.97,25.87,0.19,505.63,0,2026-05-01T05:06:54.927301+00:00
5.91,23.16,1.8,688.5,0,2026-05-01T05:06:59.976196+00:00
6.22,21.18,1.88,551.6,0,2026-05-01T05:07:05.025857+00:00
9.32,34.09,14.36,655.15,0,2026-05-01T05:07:10.078663+00:00
5.96,33.45,13.63,324.46,0,2026-05-01T05:07:15.124860+00:00
7.2,23.83,3.79,654.59,1,2026-05-01T05:07:20.172652+00:00
8.08,33.33,7.95,211.84,0,2026-05-01T05:07:25.220058+00:00
5.57,21.02,8.55,601.55,0,2026-05-01T05:07:30.267378+00:00
6.7,30.69,5.53,491.13,0,2026-05-01T05:07:35.314622+00:00
8.65,23.46,12.91,228.63,0,2026-05-01T05:07:40.361760+00:00
8.84,30.76,12.5,312.42,0,2026-05-01T05:07:45.410326+00:00
7.13,28.66,10.79,309.68,0,2026-05-01T05:07:50.457223+00:00
5.6,25.08,0.87,177.48,0,2026-05-01T05:07:55.505012+00:00
6.9,25.17,13.4,566.88,0,2026-05-01T05:08:00.549070+00:00
9.19,34.69,14.1,317.18,0,2026-05-01T05:08:05.595967+00:00
6.7,34.51,12.55,499.11,0,2026-05-01T05:08:10.642831+00:00
8.47,24.42,7.21,275.62,0,2026-05-01T05:08:15.679278+00:00
5.85,34.08,0.48,678.25,0,2026-05-01T05:08:20.702265+00:00
7.68,22.5,12.29,512.81,0,2026-05-01T05:08:25.724089+00:00
7.16,20.52,0.63,529.99,0,2026-05-01T05:08:30.752715+00:00
7.95,20.17,11.27,205.33,0,2026-05-01T05:08:35.782900+00:00
8.93,27.71,11.14,582.91,0,2026-05-01T05:08:40.813649+00:00
7.45,21.92,4.93,608.89,1,2026-05-01T05:08:45.849276+00:00
8.87,22.8,0.98,592.56,0,2026-05-01T05:08:50.890045+00:00
8.36,22.24,5.75,174.89,1,2026-05-01T05:08:55.937049+00:00
8.69,27.22,8.86,460.97,0,2026-05-01T05:09:00.987211+00:00
5.92,34.92,14.33,485.53,0,2026-05-01T05:09:06.021839+00:00
7.23,31.15,7.19,103.74,0,2026-05-01T05:09:11.065421+00:00
6.82,24.52,10.6,765.7,0,2026-05-01T05:09:16.114835+00:00
7.16,25.46,6.75,429.8,0,2026-05-01T05:09:21.162674+00:00
6.65,26.17,8.94,392.24,0,2026-05-01T05:09:26.209605+00:00
8.68,23.89,13.37,621.89,0,2026-05-01T05:09:31.265618+00:00
8.89,26.64,3.86,665.37,0,2026-05-01T05:09:36.313008+00:00
6.98,29.09,8.11,448.48,0,2026-05-01T05:09:41.353970+00:00
8.5,29.48,9.46,527.81,0,2026-05-01T05:09:46.390443+00:00
6.6,30.52,0.87,501.04,1,2026-05-01T05:09:51.413015+00:00
7.44,24.64,13.74,304.55,0,2026-05-01T05:09:56.436391+00:00
8.2,24.79,13.59,608.71,0,2026-05-01T05:10:01.469942+00:00
6.82,34.79,8.23,646.41,0,2026-05-01T05:10:06.514570+00:00
5.79,30.06,5.32,442.66,0,2026-05-01T05:10:11.539863+00:00
8.29,30.45,5.33,632.17,0,2026-05-01T05:10:16.559397+00:00
5.43,33.0,829.31,117.97,0,2026-05-01T05:10:17.511758+00:00
5.43,33.0,829.31,117.97,0,2026-05-01T10:40:17
5.5,33.0,829.31,116.2,0,2026-05-01T05:10:20.769962+00:00
5.5,33.0,829.31,116.2,0,2026-05-01T10:40:20
8.75,23.67,9.78,632.78,0,2026-05-01T05:10:21.576600+00:00
5.48,33.0,828.79,116.71,0,2026-05-01T05:10:24.033162+00:00
5.48,33.0,828.79,116.71,0,2026-05-01T10:40:24
6.91,21.1,1.15,121.13,1,2026-05-01T05:10:26.598142+00:00
5.46,33.0,829.83,115.95,0,2026-05-01T05:10:27.295688+00:00
5.46,33.0,829.83,115.95,0,2026-05-01T10:40:27
5.32,33.0,830.15,116.96,0,2026-05-01T05:10:30.560200+00:00
5.32,33.0,830.15,116.96,0,2026-05-01T10:40:30
5.46,33.0,830.24,117.97,0,2026-05-01T05:10:37.103449+00:00
5.46,33.0,830.24,117.97,0,2026-05-01T10:40:37
6.98,27.33,2.24,421.23,1,2026-05-01T05:10:37.103069+00:00
5.5,33.0,830.44,116.96,0,2026-05-01T05:10:37.123975+00:00
5.5,33.0,830.44,116.96,0,2026-05-01T10:40:37
5.47,33.0,831.01,117.46,0,2026-05-01T05:10:40.348038+00:00
5.47,33.0,831.01,117.46,0,2026-05-01T10:40:40
8.12,27.36,14.35,378.24,0,2026-05-01T05:10:42.145898+00:00
5.51,32.94,831.7,116.83,0,2026-05-01T05:10:43.610040+00:00
5.51,32.94,831.7,116.83,0,2026-05-01T10:40:43
5.47,33.0,831.73,116.96,0,2026-05-01T05:10:46.873837+00:00
5.47,33.0,831.73,116.96,0,2026-05-01T10:40:46
7.28,32.29,6.6,740.57,0,2026-05-01T05:10:47.169294+00:00
5.6,32.94,830.89,119.87,0,2026-05-01T05:10:50.138937+00:00
5.6,32.94,830.89,119.87,0,2026-05-01T10:40:50
6.39,32.23,9.13,209.09,0,2026-05-01T05:10:52.191152+00:00
5.48,32.94,831.32,117.59,0,2026-05-01T05:10:53.400793+00:00
5.48,32.94,831.32,117.59,0,2026-05-01T10:40:53
5.4,32.94,831.45,118.6,0,2026-05-01T05:10:56.662691+00:00
5.4,32.94,831.45,118.6,0,2026-05-01T10:40:56
8.94,21.82,6.3,225.37,0,2026-05-01T05:10:57.212454+00:00
5.46,33.0,832.0,117.46,0,2026-05-01T05:10:59.947753+00:00
5.46,33.0,832.0,117.46,0,2026-05-01T10:40:59
8.24,21.3,1.09,694.8,0,2026-05-01T05:11:02.257465+00:00
5.45,33.0,833.19,117.21,0,2026-05-01T05:11:03.190260+00:00
5.45,33.0,833.19,117.21,0,2026-05-01T10:41:03
5.51,33.0,833.55,116.2,0,2026-05-01T05:11:06.451235+00:00
5.51,33.0,833.55,116.2,0,2026-05-01T10:41:06
7.12,25.59,10.8,286.29,0,2026-05-01T05:11:07.280068+00:00
5.47,32.94,832.29,118.86,0,2026-05-01T05:11:09.714151+00:00
5.47,32.94,832.29,118.86,0,2026-05-01T10:41:09
7.92,25.34,8.42,344.27,0,2026-05-01T05:11:12.302797+00:00
5.44,33.0,832.42,117.72,0,2026-05-01T05:11:12.977302+00:00
5.44,33.0,832.42,117.72,0,2026-05-01T10:41:12
