ph,temperature,turbidity,tds,Potability,timestamp,sensor_id
6.35,21.99,5.61,212.99,0,2026-04-30T10:48:46.011100,SENSOR_005
5.6,24.98,12.49,245.43,0,2026-04-30T10:49:46.011100,SENSOR_004
9.09,26.82,12.29,309.94,0,2026-04-30T10:50:46.011100,SENSOR_001
5.9,31.09,0.79,700.87,0,2026-04-30T10:51:46.011100,SENSOR_005
8.17,28.86,11.52,635.33,0,2026-04-30T10:52:46.011100,SENSOR_004
8.35,23.23,3.58,551.87,0,2026-04-30T10:53:46.011100,SENSOR_003
6.0,23.21,8.48,698.0,0,2026-04-30T10:54:46.011100,SENSOR_004
6.05,32.75,5.56,210.85,0,2026-04-30T10:55:46.011100,SENSOR_005
6.0,22.95,14.0,103.17,0,2026-04-30T10:56:46.011100,SENSOR_005
5.76,34.71,1.76,245.13,0,2026-04-30T10:57:46.011100,SENSOR_001
6.13,25.96,7.23,747.85,0,2026-04-30T10:58:46.011100,SENSOR_003
6.8,20.19,14.07,366.89,0,2026-04-30T10:59:46.011100,SENSOR_005
9.32,28.93,0.58,551.14,0,2026-04-30T11:00:46.011100,SENSOR_004
7.27,22.87,13.29,172.11,0,2026-04-30T11:01:46.011100,SENSOR_002
8.45,33.34,14.02,106.12,0,2026-04-30T11:02:46.011100,SENSOR_001
5.97,23.27,10.7,260.24,0,2026-04-30T11:03:46.011100,SENSOR_004
7.25,24.07,6.42,581.35,0,2026-04-30T11:04:46.011100,SENSOR_005
8.09,20.56,5.73,763.37,0,2026-04-30T11:05:46.011100,SENSOR_002
8.99,23.9,3.17,344.18,1,2026-04-30T11:06:46.011100,SENSOR_001
5.69,34.92,11.98,162.41,0,2026-04-30T11:07:46.011100,SENSOR_004
8.64,22.25,10.52,497.86,0,2026-04-30T11:08:46.011100,SENSOR_002
9.1,32.38,8.25,268.04,1,2026-04-30T11:09:46.011100,SENSOR_004
7.31,29.79,13.99,308.72,0,2026-04-30T11:10:46.011100,SENSOR_004
7.83,25.58,3.42,546.86,1,2026-04-30T11:11:46.011100,SENSOR_003
8.49,30.16,14.66,751.26,0,2026-04-30T11:12:46.011100,SENSOR_001
7.14,32.54,0.82,789.12,0,2026-04-30T11:13:46.011100,SENSOR_001
6.52,21.29,13.02,134.85,0,2026-04-30T11:14:46.011100,SENSOR_005
8.68,20.3,13.17,103.32,0,2026-04-30T11:15:46.011100,SENSOR_003
7.98,28.47,3.45,290.4,1,2026-04-30T11:16:46.011100,SENSOR_005
8.88,27.6,13.78,402.38,0,2026-04-30T11:17:46.011100,SENSOR_001
8.53,25.89,1.91,407.41,1,2026-04-30T11:18:46.011100,SENSOR_002
9.19,21.22,3.64,739.36,0,2026-04-30T11:19:46.011100,SENSOR_002
7.08,24.45,1.52,602.17,0,2026-04-30T11:20:46.011100,SENSOR_002
6.8,24.3,10.81,384.24,0,2026-04-30T11:21:46.011100,SENSOR_003
6.81,33.02,13.27,154.23,0,2026-04-30T11:22:46.011100,SENSOR_002
6.95,22.48,5.81,757.72,0,2026-04-30T11:23:46.011100,SENSOR_002
7.52,20.74,3.28,117.13,1,2026-04-30T11:24:46.011100,SENSOR_004
8.33,20.02,10.96,526.28,0,2026-04-30T11:25:46.011100,SENSOR_001
7.32,32.79,8.45,788.5,0,2026-04-30T11:26:46.011100,SENSOR_001
9.48,33.67,11.36,639.5,1,2026-04-30T11:27:46.011100,SENSOR_005
8.81,24.66,4.2,290.25,0,2026-04-30T11:28:46.011100,SENSOR_004
9.32,27.19,7.78,117.57,0,2026-04-30T11:29:46.011100,SENSOR_004
7.25,22.26,14.37,679.75,0,2026-04-30T11:30:46.011100,SENSOR_005
8.63,28.89,4.15,500.81,0,2026-04-30T11:31:46.011100,SENSOR_001
9.0,21.31,8.62,419.76,0,2026-04-30T11:32:46.011100,SENSOR_002
8.32,27.63,2.11,426.36,1,2026-04-30T11:33:46.011100,SENSOR_001
8.12,25.57,9.98,279.15,0,2026-04-30T11:34:46.011100,SENSOR_005
5.93,22.51,1.94,708.36,0,2026-04-30T11:35:46.011100,SENSOR_005
6.32,22.61,0.72,215.53,0,2026-04-30T11:36:46.011100,SENSOR_005
8.85,27.03,8.75,136.68,1,2026-04-30T11:37:46.011100,SENSOR_004
9.46,21.67,2.43,340.67,0,2026-04-30T11:38:46.011100,SENSOR_005
8.47,31.42,0.39,649.08,0,2026-04-30T11:39:46.011100,SENSOR_005
6.38,33.15,2.76,451.24,0,2026-04-30T11:40:46.011100,SENSOR_002
8.78,26.17,9.83,737.23,0,2026-04-30T11:41:46.011100,SENSOR_003
6.95,25.46,6.76,428.08,0,2026-04-30T11:42:46.011100,SENSOR_001
7.26,22.28,11.4,174.42,0,2026-04-30T11:43:46.011100,SENSOR_004
8.11,33.52,14.48,721.75,0,2026-04-30T11:44:46.011100,SENSOR_002
9.13,30.92,11.4,428.08,0,2026-04-30T11:45:46.011100,SENSOR_004
5.65,32.54,11.63,785.1,0,2026-04-30T11:46:46.011100,SENSOR_002
9.3,21.92,12.06,218.15,0,2026-04-30T11:47:46.011100,SENSOR_005
8.12,23.79,4.1,354.88,1,2026-04-30T11:48:46.011100,SENSOR_003
7.18,29.27,4.88,606.25,0,2026-04-30T11:49:46.011100,SENSOR_003
6.12,21.56,8.85,415.43,0,2026-04-30T11:50:46.011100,SENSOR_002
5.62,29.73,4.55,181.66,0,2026-04-30T11:51:46.011100,SENSOR_004
5.92,23.34,1.64,123.38,0,2026-04-30T11:52:46.011100,SENSOR_003
6.54,21.09,1.55,220.27,1,2026-04-30T11:53:46.011100,SENSOR_003
8.41,31.0,9.72,798.21,0,2026-04-30T11:54:46.011100,SENSOR_002
6.82,27.89,11.72,145.73,0,2026-04-30T11:55:46.011100,SENSOR_001
7.62,22.74,0.15,571.98,0,2026-04-30T11:56:46.011100,SENSOR_004
7.67,30.8,7.91,552.44,0,2026-04-30T11:57:46.011100,SENSOR_002
6.62,26.96,13.69,199.61,0,2026-04-30T11:58:46.011100,SENSOR_001
6.01,28.3,8.44,559.45,0,2026-04-30T11:59:46.011100,SENSOR_003
8.71,23.95,10.9,176.89,0,2026-04-30T12:00:46.011100,SENSOR_005
5.83,23.67,8.48,341.05,0,2026-04-30T12:01:46.011100,SENSOR_005
7.24,30.89,10.96,734.15,0,2026-04-30T12:02:46.011100,SENSOR_005
6.55,20.81,12.11,632.37,0,2026-04-30T12:03:46.011100,SENSOR_002
8.55,21.02,1.95,651.21,0,2026-04-30T12:04:46.011100,SENSOR_004
8.93,24.98,12.22,676.95,0,2026-04-30T12:05:46.011100,SENSOR_003
6.98,32.01,6.89,590.24,0,2026-04-30T12:06:46.011100,SENSOR_002
6.51,22.95,8.56,156.1,0,2026-04-30T12:07:46.011100,SENSOR_004
6.26,31.84,4.83,757.11,0,2026-04-30T12:08:46.011100,SENSOR_001
8.97,26.5,10.23,242.65,0,2026-04-30T12:09:46.011100,SENSOR_002
8.59,32.12,4.61,225.57,0,2026-04-30T12:10:46.011100,SENSOR_003
6.06,34.56,9.88,480.69,0,2026-04-30T12:11:46.011100,SENSOR_001
7.01,30.11,4.17,687.18,0,2026-04-30T12:12:46.011100,SENSOR_002
6.7,28.1,12.45,747.78,0,2026-04-30T12:13:46.011100,SENSOR_003
6.96,31.27,3.59,717.94,0,2026-04-30T12:14:46.011100,SENSOR_003
8.22,20.21,2.41,798.07,0,2026-04-30T12:15:46.011100,SENSOR_001
6.47,31.88,0.79,501.8,0,2026-04-30T12:16:46.011100,SENSOR_001
9.07,28.03,0.92,313.46,0,2026-04-30T12:17:46.011100,SENSOR_001
5.94,20.01,13.42,170.16,0,2026-04-30T12:18:46.011100,SENSOR_002
9.36,30.27,10.01,328.8,0,2026-04-30T12:19:46.011100,SENSOR_005
8.56,28.57,11.69,357.0,0,2026-04-30T12:20:46.011100,SENSOR_003
8.27,28.51,11.77,769.48,0,2026-04-30T12:21:46.011100,SENSOR_002
7.87,28.82,11.17,315.85,0,2026-04-30T12:22:46.011100,SENSOR_001
9.49,24.19,8.52,286.67,0,2026-04-30T12:23:46.011100,SENSOR_004
7.01,27.11,0.43,140.9,1,2026-04-30T12:24:46.011100,SENSOR_003
8.83,22.22,7.35,504.74,0,2026-04-30T12:25:46.011100,SENSOR_005
6.66,21.8,6.67,519.6,0,2026-04-30T12:26:46.011100,SENSOR_002
8.0,33.21,7.91,326.41,1,2026-04-30T12:27:46.011100,SENSOR_005
7.76,28.08,5.88,499.59,0,2026-04-30T12:28:46.011100,SENSOR_002
5.67,32.64,2.34,509.97,1,2026-04-30T12:29:46.011100,SENSOR_003
6.58,20.77,13.64,612.71,0,2026-04-30T12:30:46.011100,SENSOR_002
6.9,22.41,5.6,339.83,0,2026-04-30T12:31:46.011100,SENSOR_005
8.51,28.88,13.37,462.4,0,2026-04-30T12:32:46.011100,SENSOR_001
7.93,31.19,14.73,185.82,0,2026-04-30T12:33:46.011100,SENSOR_003
7.91,22.42,2.18,484.97,1,2026-04-30T12:34:46.011100,SENSOR_005
7.67,29.9,7.26,636.03,0,2026-04-30T12:35:46.011100,SENSOR_004
5.99,23.66,5.29,410.85,0,2026-04-30T12:36:46.011100,SENSOR_005
7.64,21.2,1.89,763.59,0,2026-04-30T12:37:46.011100,SENSOR_001
6.62,31.56,6.54,232.06,0,2026-04-30T12:38:46.011100,SENSOR_003
7.09,28.84,6.32,260.52,1,2026-04-30T12:39:46.011100,SENSOR_002
6.96,29.72,13.94,730.82,1,2026-04-30T12:40:46.011100,SENSOR_003
7.97,33.52,6.89,382.18,0,2026-04-30T12:41:46.011100,SENSOR_003
8.99,21.13,7.21,567.56,0,2026-04-30T12:42:46.011100,SENSOR_005
6.26,21.95,1.27,534.1,0,2026-04-30T12:43:46.011100,SENSOR_003
7.41,21.75,6.24,208.13,0,2026-04-30T12:44:46.011100,SENSOR_004
8.68,26.75,10.28,790.83,0,2026-04-30T12:45:46.011100,SENSOR_004
6.77,25.31,14.71,777.52,0,2026-04-30T12:46:46.011100,SENSOR_002
8.34,34.79,14.33,591.24,1,2026-04-30T12:47:46.011100,SENSOR_001
7.14,22.13,10.66,548.63,0,2026-04-30T12:48:46.011100,SENSOR_005
9.43,25.49,10.03,366.17,0,2026-04-30T12:49:46.011100,SENSOR_002
6.15,24.05,5.86,723.68,0,2026-04-30T12:50:46.011100,SENSOR_002
5.87,21.27,10.76,301.33,0,2026-04-30T12:51:46.011100,SENSOR_005
9.42,29.8,5.4,638.85,0,2026-04-30T12:52:46.011100,SENSOR_005
8.7,32.92,0.88,316.67,0,2026-04-30T12:53:46.011100,SENSOR_003
7.73,33.63,8.01,778.97,0,2026-04-30T12:54:46.011100,SENSOR_002
6.04,28.06,8.12,380.67,0,2026-04-30T12:55:46.011100,SENSOR_002
6.49,27.3,10.6,163.18,0,2026-04-30T12:56:46.011100,SENSOR_002
8.84,29.22,6.5,485.3,0,2026-04-30T12:57:46.011100,SENSOR_001
9.35,20.14,7.19,221.63,0,2026-04-30T12:58:46.011100,SENSOR_004
6.85,20.76,7.1,746.71,0,2026-04-30T12:59:46.011100,SENSOR_002
8.23,27.76,3.41,745.02,0,2026-04-30T13:00:46.011100,SENSOR_004
9.13,20.82,6.55,692.9,0,2026-04-30T13:01:46.011100,SENSOR_004
9.47,23.17,11.31,519.68,0,2026-04-30T13:02:46.011100,SENSOR_002
7.7,22.84,7.34,519.62,0,2026-04-30T13:03:46.011100,SENSOR_001
8.24,25.86,8.29,791.03,0,2026-04-30T13:04:46.011100,SENSOR_003
5.55,33.44,1.88,780.09,0,2026-04-30T13:05:46.011100,SENSOR_004
6.12,21.86,0.4,634.42,0,2026-04-30T13:06:46.011100,SENSOR_001
8.32,21.09,9.18,291.75,0,2026-04-30T13:07:46.011100,SENSOR_002
6.2,34.92,4.48,607.41,0,2026-04-30T13:08:46.011100,SENSOR_001
6.29,34.78,2.32,196.1,0,2026-04-30T13:09:46.011100,SENSOR_001
6.28,29.45,3.03,454.59,0,2026-04-30T13:10:46.011100,SENSOR_003
6.63,32.36,10.75,772.07,0,2026-04-30T13:11:46.011100,SENSOR_002
6.74,23.46,4.79,137.79,1,2026-04-30T13:12:46.011100,SENSOR_004
9.26,30.54,3.49,796.76,0,2026-04-30T13:13:46.011100,SENSOR_002
6.77,33.73,2.51,460.29,1,2026-04-30T13:14:46.011100,SENSOR_003
9.14,22.5,12.72,788.85,0,2026-04-30T13:15:46.011100,SENSOR_004
9.46,27.85,1.98,133.15,0,2026-04-30T13:16:46.011100,SENSOR_001
7.38,21.88,8.01,758.2,0,2026-04-30T13:17:46.011100,SENSOR_001
8.41,21.59,10.4,485.19,0,2026-04-30T13:18:46.011100,SENSOR_004
9.37,25.22,13.81,518.39,0,2026-04-30T13:19:46.011100,SENSOR_005
6.34,29.52,4.43,552.61,0,2026-04-30T13:20:46.011100,SENSOR_003
6.24,29.44,4.63,118.78,0,2026-04-30T13:21:46.011100,SENSOR_005
7.9,24.18,8.86,160.29,0,2026-04-30T13:22:46.011100,SENSOR_002
8.28,20.19,5.43,218.88,0,2026-04-30T13:23:46.011100,SENSOR_002
6.93,27.51,7.49,369.44,0,2026-04-30T13:24:46.011100,SENSOR_005
6.9,34.21,13.45,367.46,0,2026-04-30T13:25:46.011100,SENSOR_002
6.11,29.41,2.7,284.48,0,2026-04-30T13:26:46.011100,SENSOR_005
6.81,21.42,1.04,315.41,1,2026-04-30T13:27:46.011100,SENSOR_005
9.03,32.42,14.19,726.67,0,2026-04-30T13:28:46.011100,SENSOR_004
6.79,23.63,0.77,408.83,1,2026-04-30T13:29:46.011100,SENSOR_002
7.14,23.97,6.44,744.67,0,2026-04-30T13:30:46.011100,SENSOR_004
8.04,21.79,1.18,404.34,1,2026-04-30T13:31:46.011100,SENSOR_001
8.35,23.95,12.51,486.08,1,2026-04-30T13:32:46.011100,SENSOR_002
6.2,23.44,10.46,448.79,0,2026-04-30T13:33:46.011100,SENSOR_003
8.22,21.17,14.81,318.61,0,2026-04-30T13:34:46.011100,SENSOR_001
6.31,30.76,7.9,456.85,0,2026-04-30T13:35:46.011100,SENSOR_002
6.87,34.71,10.34,294.75,0,2026-04-30T13:36:46.011100,SENSOR_002
9.29,24.5,5.93,579.44,0,2026-04-30T13:37:46.011100,SENSOR_004
7.87,25.92,9.25,569.58,0,2026-04-30T13:38:46.011100,SENSOR_003
8.86,28.76,11.08,330.33,0,2026-04-30T13:39:46.011100,SENSOR_004
7.92,28.89,4.62,756.74,0,2026-04-30T13:40:46.011100,SENSOR_005
8.94,30.72,7.87,162.68,0,2026-04-30T13:41:46.011100,SENSOR_002
6.34,22.96,2.26,513.2,0,2026-04-30T13:42:46.011100,SENSOR_005
7.26,24.45,7.37,161.12,0,2026-04-30T13:43:46.011100,SENSOR_001
5.75,32.09,13.39,580.2,0,2026-04-30T13:44:46.011100,SENSOR_004
6.2,20.9,5.76,514.78,0,2026-04-30T13:45:46.011100,SENSOR_005
8.28,24.99,7.0,303.14,0,2026-04-30T13:46:46.011100,SENSOR_004
7.35,24.74,0.55,230.06,1,2026-04-30T13:47:46.011100,SENSOR_003
5.9,34.79,11.28,331.76,0,2026-04-30T13:48:46.011100,SENSOR_004
7.52,34.3,4.81,677.54,0,2026-04-30T13:49:46.011100,SENSOR_001
7.56,29.49,13.83,216.34,0,2026-04-30T13:50:46.011100,SENSOR_001
7.47,23.23,1.64,195.37,1,2026-04-30T13:51:46.011100,SENSOR_002
7.68,24.57,12.19,471.58,0,2026-04-30T13:52:46.011100,SENSOR_003
8.56,23.99,3.57,702.0,0,2026-04-30T13:53:46.011100,SENSOR_005
7.12,33.37,10.85,421.31,0,2026-04-30T13:54:46.011100,SENSOR_003
7.99,27.17,2.21,251.73,1,2026-04-30T13:55:46.011100,SENSOR_003
6.29,24.77,14.23,460.53,0,2026-04-30T13:56:46.011100,SENSOR_002
7.9,21.72,2.71,180.88,1,2026-04-30T13:57:46.011100,SENSOR_005
7.61,32.24,12.18,747.32,0,2026-04-30T13:58:46.011100,SENSOR_002
5.5,33.28,1.03,115.36,0,2026-04-30T13:59:46.011100,SENSOR_005
6.57,30.58,14.56,604.21,0,2026-04-30T14:00:46.011100,SENSOR_003
8.53,23.54,7.88,232.68,0,2026-04-30T14:01:46.011100,SENSOR_005
8.76,34.54,10.99,470.99,0,2026-04-30T14:02:46.011100,SENSOR_004
6.62,25.61,14.1,277.31,0,2026-04-30T14:03:46.011100,SENSOR_003
6.35,30.66,6.68,468.94,0,2026-04-30T14:04:46.011100,SENSOR_001
6.53,26.46,10.05,723.71,1,2026-04-30T14:05:46.011100,SENSOR_004
5.88,28.95,5.83,618.01,0,2026-04-30T14:06:46.011100,SENSOR_005
7.08,20.88,14.31,742.41,0,2026-04-30T14:07:46.011100,SENSOR_004
9.43,31.35,6.95,484.68,0,2026-04-30T14:08:46.011100,SENSOR_002
8.17,25.68,4.15,447.43,0,2026-04-30T14:09:46.011100,SENSOR_005
5.68,32.88,4.9,562.02,0,2026-04-30T14:10:46.011100,SENSOR_005
5.61,26.39,4.07,719.85,0,2026-04-30T14:11:46.011100,SENSOR_001
5.69,27.39,6.03,303.03,0,2026-04-30T14:12:46.011100,SENSOR_002
6.72,31.16,11.07,676.34,0,2026-04-30T14:13:46.011100,SENSOR_005
6.47,23.72,0.91,694.07,0,2026-04-30T14:14:46.011100,SENSOR_004
7.99,25.25,1.7,487.05,1,2026-04-30T14:15:46.011100,SENSOR_002
6.78,22.49,12.24,628.06,0,2026-04-30T14:16:46.011100,SENSOR_002
6.57,30.57,3.25,522.34,0,2026-04-30T14:17:46.011100,SENSOR_005
6.94,32.02,12.11,502.48,0,2026-04-30T14:18:46.011100,SENSOR_004
7.61,27.25,3.3,692.65,0,2026-04-30T14:19:46.011100,SENSOR_005
7.12,25.82,2.3,225.5,1,2026-04-30T14:20:46.011100,SENSOR_002
6.53,20.99,6.16,762.18,0,2026-04-30T14:21:46.011100,SENSOR_004
6.66,26.33,9.85,369.12,0,2026-04-30T14:22:46.011100,SENSOR_002
8.64,26.02,3.89,675.69,0,2026-04-30T14:23:46.011100,SENSOR_002
7.97,22.61,10.31,721.33,0,2026-04-30T14:24:46.011100,SENSOR_001
8.26,24.86,9.52,769.21,0,2026-04-30T14:25:46.011100,SENSOR_003
7.29,24.44,2.49,724.06,0,2026-04-30T14:26:46.011100,SENSOR_004
7.04,21.2,9.33,543.71,0,2026-04-30T14:27:46.011100,SENSOR_005
8.68,27.3,0.91,631.97,0,2026-04-30T14:28:46.011100,SENSOR_003
7.12,20.04,3.2,320.73,1,2026-04-30T14:29:46.011100,SENSOR_004
8.94,21.41,13.71,296.41,0,2026-04-30T14:30:46.011100,SENSOR_004
7.71,26.75,12.3,159.99,0,2026-04-30T14:31:46.011100,SENSOR_003
6.1,24.44,7.97,632.9,0,2026-04-30T14:32:46.011100,SENSOR_003
6.76,33.37,10.14,768.9,0,2026-04-30T14:33:46.011100,SENSOR_001
9.25,33.3,6.62,603.86,0,2026-04-30T14:34:46.011100,SENSOR_001
5.98,33.41,9.36,279.49,0,2026-04-30T14:35:46.011100,SENSOR_004
8.5,21.12,7.07,631.69,0,2026-04-30T14:36:46.011100,SENSOR_004
7.34,26.26,11.28,391.7,0,2026-04-30T14:37:46.011100,SENSOR_001
7.1,29.51,11.86,365.69,0,2026-04-30T14:38:46.011100,SENSOR_004
6.04,24.41,10.24,423.59,0,2026-04-30T14:39:46.011100,SENSOR_004
9.37,32.34,14.36,100.9,0,2026-04-30T14:40:46.011100,SENSOR_002
7.42,27.06,3.51,626.94,0,2026-04-30T14:41:46.011100,SENSOR_002
7.96,33.45,8.85,184.72,0,2026-04-30T14:42:46.011100,SENSOR_001
6.35,23.08,4.51,584.82,0,2026-04-30T14:43:46.011100,SENSOR_004
7.5,28.0,4.08,156.29,1,2026-04-30T14:44:46.011100,SENSOR_001
8.59,33.41,13.99,107.16,0,2026-04-30T14:45:46.011100,SENSOR_002
7.73,24.08,5.46,764.44,0,2026-04-30T14:46:46.011100,SENSOR_004
5.89,29.76,9.37,252.36,0,2026-04-30T14:47:46.011100,SENSOR_002
6.63,25.5,7.29,476.88,0,2026-04-30T14:48:46.011100,SENSOR_002
7.71,28.39,4.04,746.32,0,2026-04-30T14:49:46.011100,SENSOR_004
8.48,27.01,6.68,246.48,0,2026-04-30T14:50:46.011100,SENSOR_005
9.03,27.29,5.97,707.47,0,2026-04-30T14:51:46.011100,SENSOR_005
9.0,22.2,13.39,490.64,0,2026-04-30T14:52:46.011100,SENSOR_003
5.75,30.26,10.47,644.13,0,2026-04-30T14:53:46.011100,SENSOR_004
8.16,24.33,2.21,627.47,0,2026-04-30T14:54:46.011100,SENSOR_004
7.7,24.95,7.39,586.51,0,2026-04-30T14:55:46.011100,SENSOR_001
6.85,27.62,7.39,512.66,0,2026-04-30T14:56:46.011100,SENSOR_001
6.07,20.35,14.63,143.67,0,2026-04-30T14:57:46.011100,SENSOR_001
6.43,22.54,10.71,533.96,0,2026-04-30T14:58:46.011100,SENSOR_001
5.69,21.15,14.88,448.07,0,2026-04-30T14:59:46.011100,SENSOR_004
6.87,23.47,5.94,171.75,0,2026-04-30T15:00:46.011100,SENSOR_005
6.88,24.82,14.36,300.98,0,2026-04-30T15:01:46.011100,SENSOR_003
7.59,21.09,2.77,124.5,1,2026-04-30T15:02:46.011100,SENSOR_001
7.57,33.68,8.99,496.14,1,2026-04-30T15:03:46.011100,SENSOR_003
8.09,29.04,8.25,317.6,0,2026-04-30T15:04:46.011100,SENSOR_005
8.7,20.49,11.3,355.5,0,2026-04-30T15:05:46.011100,SENSOR_001
9.33,27.89,3.83,238.86,0,2026-04-30T15:06:46.011100,SENSOR_003
7.65,23.4,6.21,577.19,0,2026-04-30T15:07:46.011100,SENSOR_003
9.44,27.98,7.76,622.91,0,2026-04-30T15:08:46.011100,SENSOR_004
9.3,24.99,3.63,317.23,0,2026-04-30T15:09:46.011100,SENSOR_002
7.92,31.98,2.9,556.05,0,2026-04-30T15:10:46.011100,SENSOR_003
6.83,24.99,4.45,199.07,1,2026-04-30T15:11:46.011100,SENSOR_002
5.85,20.16,12.95,528.87,0,2026-04-30T15:12:46.011100,SENSOR_002
9.06,29.78,0.26,647.96,0,2026-04-30T15:13:46.011100,SENSOR_001
6.91,31.79,7.04,246.67,1,2026-04-30T15:14:46.011100,SENSOR_001
8.38,32.93,5.86,770.02,0,2026-04-30T15:15:46.011100,SENSOR_001
9.28,25.35,14.1,454.78,0,2026-04-30T15:16:46.011100,SENSOR_003
7.62,27.89,14.11,656.09,1,2026-04-30T15:17:46.011100,SENSOR_002
8.01,25.76,5.46,213.48,0,2026-04-30T15:18:46.011100,SENSOR_004
8.9,34.27,2.85,184.96,0,2026-04-30T15:19:46.011100,SENSOR_003
6.42,27.0,0.48,790.71,0,2026-04-30T15:20:46.011100,SENSOR_003
6.35,29.87,14.76,204.09,0,2026-04-30T15:21:46.011100,SENSOR_004
6.98,25.42,2.54,567.25,0,2026-04-30T15:22:46.011100,SENSOR_005
5.99,33.31,10.11,515.53,0,2026-04-30T15:23:46.011100,SENSOR_003
